alpha,method,Loss_train_mean,Loss_train_std,Loss_optimal
1.0,GD,1.0900673185380143,0.0,1.0900673185380116
1.0,SGD,1.090391287652631,0.0004997336032942842,1.0900673185380116
1.0,SVRG,1.0900673185380114,4.2518304777254294e-16,1.0900673185380116
0.999999,GD,0.8823803636666655,0.0,0.8823685258487319
0.999999,SGD,0.8824145611206671,0.0001377964101244364,0.8823685258487319
0.999999,SVRG,0.8823685269072817,1.6823803175501816e-11,0.8823685258487319
0.99999,GD,0.9392580671489297,0.0,0.9391074896506637
0.99999,SGD,0.9393188433613741,6.269951159903243e-05,0.9391074896506637
0.99999,SVRG,0.9391075444648477,1.600392905782161e-09,0.9391074896506637
0.9999,GD,0.9286654941111149,0.0,0.9279233780192775
0.9999,SGD,0.9289740874051788,6.0139450414922524e-05,0.9279233780192775
0.9999,SVRG,0.9279234066808358,1.1477335911607488e-09,0.9279233780192775
0.999,GD,0.8440232981666455,1.1102230246251565e-16,0.8396468007353406
0.999,SGD,0.8462629434618089,0.00013215758413251145,0.8396468007353406
0.999,SVRG,0.8396469443912361,5.111604194751176e-09,0.8396468007353406
0.99,GD,1.10453639582622,0.0,1.0808858779685409
0.99,SGD,1.1328748301040126,0.0007915924295416598,1.0808858779685409
0.99,SVRG,1.0808858786255902,4.3871224320586437e-11,1.0808858779685409
0.9,GD,0.996549420787177,0.0,0.9964828953017926
0.9,SGD,1.0000811581409768,0.0003980725819758236,0.9964828953017926
0.9,SVRG,0.996482895301793,2.8665835232995054e-16,0.9964828953017926
0.8,GD,0.8029746020745526,0.0,0.8029739231179386
0.8,SGD,0.8035936955928923,0.00015615124109188993,0.8029739231179386
0.8,SVRG,0.8029739231179382,2.398355846665908e-16,0.8029739231179386
0.7,GD,0.8458760244890112,0.0,0.8458760184785808
0.7,SGD,0.8460317493202295,9.491404554931136e-05,0.8458760184785808
0.7,SVRG,0.8458760184785815,9.064933036736789e-17,0.8458760184785808
0.6,GD,0.8618570621730318,0.0,0.8618570621709071
0.6,SGD,0.8620257876250607,0.00022558277310139838,0.8618570621709071
0.6,SVRG,0.8618570621709067,1.5700924586837752e-16,0.8618570621709071
0.5,GD,0.9184583891263719,0.0,0.9184583891263717
0.5,SGD,0.9185106210076075,3.6190207341295755e-05,0.9184583891263717
0.5,SVRG,0.9184583891263717,2.026980648162706e-16,0.9184583891263717
