alpha,method,Loss_train_mean,Loss_train_std,Loss_optimal
1.0,GD,1.090900530852592,0.0,1.090900530852593
1.0,SGD,1.090304327439028,0.00037914526337100247,1.090900530852593
1.0,SVRG,1.0909005308525888,1.8129866073473578e-16,1.090900530852593
0.999999,GD,1.2163886679049305,0.0,1.2163881084194241
0.999999,SGD,1.2162209386080471,0.0002855936371314473,1.2163881084194241
0.999999,SVRG,1.2163881084194257,1.8220289906598884e-15,1.2163881084194241
0.99999,GD,1.0340341695606847,0.0,1.0340318389972978
0.99999,SGD,1.0337064955160926,0.0005485139495625619,1.0340318389972978
0.99999,SVRG,1.0340318389972964,0.0,1.0340318389972978
0.9999,GD,1.2535265218736116,0.0,1.253514670792112
0.9999,SGD,1.2537469782635264,0.00026537366944589684,1.253514670792112
0.9999,SVRG,1.2535146707921132,2.826166425630795e-15,1.253514670792112
0.999,GD,0.8298218053004084,0.0,0.8296191954632284
0.999,SGD,0.8315093407341004,0.0006987789317286633,0.8296191954632284
0.999,SVRG,0.8296191954632292,2.426457548633688e-15,0.8296191954632284
0.99,GD,1.0869039317290847,0.0,1.0860923432273948
0.99,SGD,1.0950774214903205,0.00025866944771442207,1.0860923432273948
0.99,SVRG,1.0860923432274017,2.0431321437426706e-15,1.0860923432273948
0.9,GD,1.1054861790796162,0.0,1.1054657445349698
0.9,SGD,1.110873394775451,0.0007448194381208615,1.1054657445349698
0.9,SVRG,1.1054657445349696,0.0,1.1054657445349698
0.8,GD,0.9079735312203868,0.0,0.9079734327839989
0.8,SGD,0.9086265191831889,0.0002575287079751297,0.9079734327839989
0.8,SVRG,0.9079734327839996,8.64739498196278e-16,0.9079734327839989
0.7,GD,0.7458062929559963,0.0,0.7458062928114999
0.7,SGD,0.7460244027223212,0.0007535982593389434,0.7458062928114999
0.7,SVRG,0.7458062928115008,9.064933036736789e-17,0.7458062928114999
0.6,GD,0.723896316046528,0.0,0.7238963151187141
0.6,SGD,0.7231668475652686,0.0003940716600719053,0.7238963151187141
0.6,SVRG,0.72389631511871,2.9373740229761033e-16,0.7238963151187141
0.5,GD,0.7503029306881329,1.1102230246251565e-16,0.7503029306881289
0.5,SGD,0.7510318381677767,0.0011242990070768157,0.7503029306881289
0.5,SVRG,0.7503029306881297,5.006272899369273e-16,0.7503029306881289
