FOs,Loss_train,Loss_test,Optimal_loss_train
102,38.35427837986163,47.63632720029625,0.94887639802629
104,35.88485972097522,44.386383124989294,0.94887639802629
106,32.607890231828314,40.114330222618754,0.94887639802629
108,30.397777619457383,37.25467537092745,0.94887639802629
110,27.85580073150496,33.971418809821074,0.94887639802629
112,25.22464537594868,30.578541905091242,0.94887639802629
114,23.29008147147585,28.078981493332524,0.94887639802629
116,21.422613507863353,25.682334173189048,0.94887639802629
118,19.558578710926298,23.296232388689937,0.94887639802629
120,18.756864750364716,22.256717615918365,0.94887639802629
122,17.934716934841887,21.205335967375095,0.94887639802629
124,16.858805019033944,19.83775831779797,0.94887639802629
126,16.441934831437408,19.32625893373591,0.94887639802629
128,15.949637539892123,18.714560154819882,0.94887639802629
130,15.227480429440266,17.812371368568474,0.94887639802629
132,14.526292734478401,16.941565827314474,0.94887639802629
134,13.828132823319224,16.077815716979423,0.94887639802629
136,12.9697642091743,15.008449721955735,0.94887639802629
138,11.99226464211099,13.789169478843434,0.94887639802629
140,11.138852355237681,12.719370550382934,0.94887639802629
142,10.23751274537175,11.59132618295679,0.94887639802629
144,9.437790775792976,10.600336380584562,0.94887639802629
146,8.588079926626618,9.550653182386766,0.94887639802629
148,7.891647309039899,8.69291809587808,0.94887639802629
150,7.181621284729562,7.823731854465275,0.94887639802629
152,6.485786629194726,6.978065533712339,0.94887639802629
154,5.778991785972128,6.124853496554642,0.94887639802629
156,5.086855030581291,5.296084115655855,0.94887639802629
158,4.72620159412958,4.86389908789365,0.94887639802629
160,4.331710407906504,4.3949026262548925,0.94887639802629
162,3.9133258845625103,3.902667110946531,0.94887639802629
164,3.622320902043977,3.565316443693948,0.94887639802629
166,3.3568545563413217,3.2616354062316524,0.94887639802629
168,3.0725132333342215,2.9393066388835227,0.94887639802629
170,2.78937107651339,2.622785293578545,0.94887639802629
172,2.557320964743746,2.3665343633448974,0.94887639802629
174,2.5099610548118507,2.312858118487422,0.94887639802629
176,2.471443826441645,2.2678233999954,0.94887639802629
178,2.4046025792431216,2.1928059958779142,0.94887639802629
