FOs,Loss_train,Loss_test,Optimal_loss_train
70300,0.9488768850778206,1.1472356381417217,0.94887639802629
70400,0.9488768777314374,1.147237384565924,0.94887639802629
70500,0.9488768704964738,1.14723911709423,0.94887639802629
70600,0.9488768633712295,1.1472408358399715,0.94887639802629
70700,0.9488768563540279,1.1472425409155291,0.94887639802629
70800,0.9488768494432205,1.147244232432346,0.94887639802629
70900,0.9488768426371819,1.1472459105009247,0.94887639802629
71000,0.948876835934313,1.1472475752308438,0.94887639802629
71100,0.948876829333039,1.1472492267307675,0.94887639802629
71200,0.94887682283181,1.1472508651084428,0.94887639802629
71300,0.9488768164290994,1.1472524904707189,0.94887639802629
71400,0.9488768101234035,1.1472541029235512,0.94887639802629
71500,0.9488768039132429,1.1472557025720034,0.94887639802629
71600,0.94887679779716,1.1472572895202657,0.94887639802629
71700,0.948876791773721,1.1472588638716528,0.94887639802629
71800,0.9488767858415121,1.147260425728617,0.94887639802629
71900,0.9488767799991428,1.1472619751927517,0.94887639802629
72000,0.9488767742452439,1.1472635123648043,0.94887639802629
72100,0.948876768578466,1.1472650373446776,0.94887639802629
72200,0.9488767629974819,1.1472665502314399,0.94887639802629
72300,0.9488767575009845,1.147268051123333,0.94887639802629
72400,0.948876752087686,1.147269540117777,0.94887639802629
72500,0.948876746756319,1.14727101731138,0.94887639802629
72600,0.9488767415056355,1.1472724827999428,0.94887639802629
72700,0.9488767363344063,1.1472739366784679,0.94887639802629
72800,0.9488767312414222,1.1472753790411618,0.94887639802629
72900,0.9488767262254906,1.1472768099814499,0.94887639802629
73000,0.94887672128544,1.1472782295919743,0.94887639802629
73100,0.948876716420113,1.1472796379646069,0.94887639802629
73200,0.9488767116283742,1.1472810351904568,0.94887639802629
73300,0.9488767069091029,1.147282421359866,0.94887639802629
73400,0.9488767022611961,1.1472837965624312,0.94887639802629
73500,0.948876697683568,1.147285160887,0.94887639802629
73600,0.9488766931751497,1.1472865144216824,0.94887639802629
73700,0.9488766887348877,1.1472878572538519,0.94887639802629
73800,0.9488766843617463,1.1472891894701542,0.94887639802629
73900,0.948876680054704,1.14729051115652,0.94887639802629
74000,0.9488766758127557,1.1472918223981572,0.94887639802629
74100,0.9488766716349122,1.1472931232795731,0.94887639802629
74200,0.948876667520198,1.1472944138845667,0.94887639802629
74300,0.9488766634676544,1.1472956942962425,0.94887639802629
74400,0.9488766594763364,1.147296964597016,0.94887639802629
74500,0.9488766555453121,1.1472982248686137,0.94887639802629
74600,0.9488766516736671,1.1472994751920886,0.94887639802629
74700,0.9488766478604981,1.1473007156478154,0.94887639802629
74800,0.9488766441049173,1.1473019463155083,0.94887639802629
74900,0.9488766404060496,1.1473031672742124,0.94887639802629
75000,0.9488766367630334,1.1473043786023223,0.94887639802629
75100,0.9488766331750205,1.1473055803775816,0.94887639802629
75200,0.9488766296411765,1.1473067726770874,0.94887639802629
75300,0.9488766261606778,1.1473079555772978,0.94887639802629
75400,0.9488766227327153,1.1473091291540376,0.94887639802629
75500,0.9488766193564908,1.147310293482506,0.94887639802629
75600,0.9488766160312196,1.1473114486372742,0.94887639802629
75700,0.9488766127561277,1.1473125946922997,0.94887639802629
75800,0.9488766095304547,1.1473137317209252,0.94887639802629
75900,0.9488766063534496,1.147314859795888,0.94887639802629
76000,0.9488766032243752,1.147315978989323,0.94887639802629
76100,0.9488766001425029,1.1473170893727667,0.94887639802629
76200,0.9488765971071177,1.147318191017167,0.94887639802629
76300,0.9488765941175146,1.147319283992882,0.94887639802629
76400,0.948876591172999,1.1473203683696902,0.94887639802629
76500,0.948876588272887,1.1473214442167903,0.94887639802629
76600,0.9488765854165062,1.1473225116028134,0.94887639802629
76700,0.9488765826031927,1.1473235705958196,0.94887639802629
76800,0.9488765798322936,1.1473246212633108,0.94887639802629
76900,0.9488765771031669,1.1473256636722275,0.94887639802629
77000,0.9488765744151789,1.147326697888962,0.94887639802629
77100,0.948876571767706,1.147327723979351,0.94887639802629
77200,0.9488765691601351,1.1473287420087004,0.94887639802629
77300,0.9488765665918606,1.1473297520417638,0.94887639802629
77400,0.9488765640622878,1.1473307541427689,0.94887639802629
77500,0.9488765615708306,1.147331748375413,0.94887639802629
77600,0.9488765591169108,1.1473327348028666,0.94887639802629
77700,0.9488765566999612,1.1473337134877781,0.94887639802629
77800,0.9488765543194213,1.1473346844922843,0.94887639802629
77900,0.9488765519747395,1.1473356478780075,0.94887639802629
78000,0.9488765496653734,1.1473366037060606,0.94887639802629
78100,0.9488765473907881,1.1473375520370583,0.94887639802629
78200,0.948876545150457,1.147338492931111,0.94887639802629
78300,0.9488765429438621,1.1473394264478396,0.94887639802629
78400,0.9488765407704929,1.147340352646369,0.94887639802629
78500,0.9488765386298459,1.1473412715853428,0.94887639802629
78600,0.9488765365214259,1.147342183322918,0.94887639802629
78700,0.9488765344447462,1.1473430879167767,0.94887639802629
78800,0.9488765323993266,1.147343985424127,0.94887639802629
78900,0.9488765303846938,1.1473448759017046,0.94887639802629
79000,0.9488765284003813,1.1473457594057803,0.94887639802629
79100,0.9488765264459318,1.1473466359921636,0.94887639802629
79200,0.9488765245208935,1.1473475057162037,0.94887639802629
79300,0.9488765226248214,1.147348368632798,0.94887639802629
79400,0.9488765207572775,1.147349224796391,0.94887639802629
79500,0.9488765189178308,1.147350074260981,0.94887639802629
79600,0.9488765171060561,1.1473509170801244,0.94887639802629
79700,0.9488765153215357,1.1473517533069384,0.94887639802629
79800,0.9488765135638576,1.1473525829941036,0.94887639802629
79900,0.9488765118326157,1.147353406193868,0.94887639802629
80000,0.9488765101274104,1.1473542229580538,0.94887639802629
80100,0.9488765084478494,1.1473550333380567,0.94887639802629
80200,0.948876506793544,1.1473558373848538,0.94887639802629
80300,0.9488765051641133,1.1473566351490017,0.94887639802629
80400,0.9488765035591811,1.1473574266806459,0.94887639802629
80500,0.9488765019783783,1.1473582120295174,0.94887639802629
80600,0.9488765004213394,1.1473589912449447,0.94887639802629
80700,0.9488764988877065,1.1473597643758502,0.94887639802629
80800,0.9488764973771245,1.1473605314707565,0.94887639802629
80900,0.9488764958892483,1.147361292577791,0.94887639802629
81000,0.948876494423732,1.1473620477446844,0.94887639802629
81100,0.94887649298024,1.1473627970187812,0.94887639802629
81200,0.9488764915584389,1.147363540447036,0.94887639802629
81300,0.9488764901580015,1.1473642780760225,0.94887639802629
