lambda,method,Loss_train_mean,Loss_test_mean,Loss_train_std,Loss_test_std,Gap_mean,Gap_std
0.0,GD,0.7365478086175138,1.1034331394993475,1.1102230246251565e-16,0.0,0.3668853308818336,0.0
0.0,SGD,0.7365876665116624,1.104192911091775,1.1718241777720607e-05,0.0007577339043051033,0.3676052445801126,0.0007649381651199274
0.0,SVRG,0.7365478086175138,1.1034331395009727,1.1102230246251565e-16,7.691850745534255e-16,0.36688533088345904,8.569838303373442e-16
0.01,GD,0.7367663616276611,1.0959752615943095,1.1102230246251565e-16,0.0,0.3592088999666483,0.0
0.01,SGD,0.7367629629990109,1.0959106254698652,0.0001044882103410439,0.0018024196372075035,0.3591476624708541,0.001906782218915739
0.01,SVRG,0.7367663616276516,1.0959752615949638,2.026980648162706e-16,1.2819751242557092e-16,0.35920889996731237,1.3970000036909087e-16
0.1,GD,0.7568541282410405,1.0546522800542866,0.0,0.0,0.2977981518132461,0.0
0.1,SGD,0.7577814126639298,1.0544031084307413,0.0014800554310247082,0.0010514284857300817,0.29662169576681147,0.002481846220841785
0.1,SVRG,0.7568541282410443,1.054652280054294,8.233634315563857e-16,6.280369834735101e-16,0.2977981518132496,1.0967257852055096e-15
0.125,GD,0.7677385407560515,1.050356567676968,0.0,0.0,0.2826180269209164,0.0
0.125,SGD,0.769893793594069,1.0506458133003802,0.001565040445668381,0.00073718576806949,0.28075201970631125,0.0018022878960925236
0.125,SVRG,0.7677385407560523,1.0503565676769726,7.079939031228903e-16,2.8665835232995054e-16,0.2826180269209201,7.195067539997724e-16
0.15,GD,0.7807458114584981,1.0488017999498498,0.0,0.0,0.2680559884913517,0.0
0.15,SGD,0.7810859073982209,1.0494427801292094,0.004157540591913386,0.00033369142963555695,0.2683568727309885,0.004453347677053924
0.15,SVRG,0.7807458114585009,1.0488017999498525,2.8442807401983717e-15,1.2819751242557094e-15,0.2680559884913517,1.6492200164906077e-15
0.175,GD,0.7957973268465633,1.0498345334677566,0.0,0.0,0.2540372066211932,0.0
0.175,SGD,0.795291704163164,1.050195924827759,0.002436286588899542,0.000841816921325762,0.25490422066459495,0.0017327177374593878
0.175,SVRG,0.7957973268465585,1.0498345334677612,3.006498163255289e-16,2.220446049250313e-16,0.25403720662120277,9.064933036736789e-17
0.2,GD,0.8128220588669034,1.053321508764167,0.0,0.0,0.24049944989726357,0.0
0.2,SGD,0.8111823058366253,1.0530778291805003,0.0058893152831640365,0.0020652993204950403,0.241895523343875,0.0038308837205423924
0.2,SVRG,0.8128220588669195,1.0533215087641763,3.8640440074521485e-15,9.155133597044475e-16,0.2404994498972568,2.972137055765787e-15
0.3,GD,0.8994172369356589,1.0896410686235245,1.1102230246251565e-16,0.0,0.1902238316878655,0.0
0.3,SGD,0.9072662152385346,1.09444351927061,0.004475892738034944,0.0022079003229548795,0.18717730403207541,0.0023400115577656895
0.3,SVRG,0.899417236935672,1.0896410686235323,1.407256040722008e-15,9.332919779905611e-16,0.19022383168786042,7.041752360136647e-16
0.4,GD,1.0130579350383733,1.1576528623991627,0.0,0.0,0.14459492736078938,0.0
0.4,SGD,1.0066800135789205,1.1533458004261645,0.006496948311598322,0.004766101539683968,0.14666578684724405,0.0017329423337379695
0.4,SVRG,1.0130579350383824,1.157652862399175,3.8587238286830786e-15,3.1454142047823935e-15,0.1445949273607927,7.251946429389431e-16
0.5,GD,1.150819872748188,1.2530895935409563,0.0,0.0,0.1022697207927683,0.0
0.5,SGD,1.1515629940231908,1.2547359141537573,0.003401096869700952,0.0022682752308112388,0.10317292013056645,0.0012966060238171241
0.5,SVRG,1.1508198727482124,1.2530895935409765,4.7329021527851504e-15,2.7194799110210367e-15,0.10226972079276415,2.0215734328302057e-15
0.6,GD,1.3101739017784184,1.3725985555965676,0.0,0.0,0.06242465381814921,0.0
0.6,SGD,1.3080624550912916,1.37079330227144,0.010963410759812975,0.007673382152291203,0.0627308471801485,0.0032996285772692808
0.6,SVRG,1.3101739017784544,1.3725985555965974,6.462222850547427e-15,4.906800608485428e-15,0.06242465381814314,1.6845513730096695e-15
0.7,GD,1.4888768505249035,1.5134009698761293,0.0,2.220446049250313e-16,0.02452411935122556,0.0
0.7,SGD,1.513199995170514,1.5331093300501928,0.0331676420598292,0.027496782913197265,0.019909334879679053,0.005679096956187657
0.7,SVRG,1.488876850524873,1.5134009698761097,8.704224038109391e-15,6.441845274070438e-15,0.02452411935123629,2.281291746273972e-15
0.8,GD,1.6849157192499957,1.6731194047142885,0.0,0.0,-0.011796314535707175,0.0
0.8,SGD,1.6753437052151856,1.6648666935053165,0.01470687484645723,0.011427394111777893,-0.010477011709869366,0.0033276237627892086
0.8,SVRG,1.684915719250009,1.6731194047143025,2.198129442157285e-15,1.6616296724220897e-15,-0.011796314535706509,8.308148362110449e-16
0.8,GD,1.6849157192499957,1.6731194047142885,0.0,0.0,-0.011796314535707175,0.0
0.8,SGD,1.6982445188928281,1.6841743137449992,0.020492122960155772,0.01709936415746096,-0.014070205147829196,0.0033959460156071605
0.8,SVRG,1.6849157192500093,1.673119404714303,8.420146902325305e-15,8.405495513285155e-15,-0.011796314535706362,1.0467442774737538e-16
1.0,GD,2.1219044640374225,2.041249101224325,0.0,0.0,-0.08065536281309749,0.0
1.0,SGD,2.1193959865686884,2.0396057785120796,0.004909113369889549,0.004919118089995045,-0.07979020805660857,0.0009057482878159729
1.0,SVRG,2.121904464037422,2.0412491012243237,2.4188258267988563e-15,2.220446049250313e-15,-0.08065536281309808,2.0939676470092863e-16
