alpha,method,Loss_train_mean,Loss_train_std,Loss_optimal
1.0,GD,0.8434415182952811,1.1102230246251565e-16,0.8434415182952467
1.0,SGD,0.8434543593126058,1.7885241887145546e-05,0.8434415182952467
1.0,SVRG,0.8434415182952774,1.2819751242557092e-16,0.8434415182952467
0.999999,GD,0.9152936868833259,0.0,0.9132417062023834
0.999999,SGD,0.9155385351788228,5.685155897360465e-05,0.9132417062023834
0.999999,SVRG,0.9150853028020745,7.745329564815763e-07,0.9132417062023834
0.99999,GD,0.9011076212481658,0.0,0.8920330524178329
0.99999,SGD,0.9012345964598486,9.241200612557336e-05,0.8920330524178329
0.99999,SVRG,0.9000372994237728,4.432096381244701e-06,0.8920330524178329
0.9999,GD,1.2326976361564201,0.0,1.1317581450616894
0.9999,SGD,1.2340889943393767,1.4000384681063154e-05,1.1317581450616894
0.9999,SVRG,1.2020329996836292,4.250010518761668e-05,1.1317581450616894
0.999,GD,0.7466345672271081,0.0,0.7118714963361511
0.999,SGD,0.7492074401092417,0.00013762478874946164,0.7118714963361511
0.999,SVRG,0.7188646539579416,9.149081840881333e-05,0.7118714963361511
0.99,GD,0.884743590876599,0.0,0.8580213090279668
0.99,SGD,0.9139458188741093,0.0009203533448645045,0.8580213090279668
0.99,SVRG,0.8580217545098238,9.835479814043147e-09,0.8580213090279668
0.9,GD,0.9614737111588815,1.1102230246251565e-16,0.9614689771342063
0.9,SGD,0.9630329579204621,0.00021165805866025226,0.9614689771342063
0.9,SVRG,0.9614689771342061,1.4332917616497527e-16,0.9614689771342063
0.8,GD,0.9641357783662619,0.0,0.9641353061641188
0.8,SGD,0.9648627264214343,0.0001683268733382809,0.9641353061641188
0.8,SVRG,0.9641353061641187,1.1102230246251565e-16,0.9641353061641188
0.7,GD,0.8113789558711838,1.1102230246251565e-16,0.811378955589311
0.7,SGD,0.8114590808560148,7.4056366075561265e-06,0.811378955589311
0.7,SVRG,0.811378955589312,2.642859423360307e-16,0.811378955589311
0.6,GD,0.8006402332812056,0.0,0.8006402332811993
0.6,SGD,0.8006968064537191,2.3440316106282496e-05,0.8006402332811993
0.6,SVRG,0.8006402332811996,1.9229626863835638e-16,0.8006402332811993
0.5,GD,1.2883717512936872,0.0,1.288371751293687
0.5,SGD,1.2887165640289098,0.00024445577857828006,1.288371751293687
0.5,SVRG,1.2883717512936872,1.8129866073473578e-16,1.288371751293687
