n,method,Loss_train_mean,Loss_test_mean,Gap_mean,Gap_std
10000,GD,1.0014090727481024,0.9291921623773907,-0.07221691037071176,0.0
10000,SGD,0.9996322038613868,0.9298480536716599,-0.06978415018972679,0.00027025562027182095
10000,SVRG,0.9993614316952399,0.9301234184225736,-0.06923801327266625,1.5586600572857465e-08
2000,GD,0.9928222029390833,0.9340986494843636,-0.0587235534547198,0.0
2000,SGD,0.9928715850200017,0.9341802787873942,-0.05869130623260758,0.00038082317417235115
2000,SVRG,0.9928013914194721,0.9344027651421776,-0.05839862627729464,4.532466518368395e-16
1000,GD,1.0209465252605026,0.939483614799652,-0.08146291046085052,0.0
1000,SGD,1.0211027754927835,0.9400448923899355,-0.08105788310284794,0.0012921741978578088
1000,SVRG,1.0209434375481024,0.9396459631743262,-0.08129747437377595,4.048216753721947e-15
500,GD,1.0521031637515543,0.9428866348004972,-0.10921652895105716,0.0
500,SGD,1.052397818293256,0.942819486723829,-0.10957833156942687,0.0006668389234989081
500,SVRG,1.0521031427110399,0.9429158750255321,-0.10918726768550786,2.6619680772661336e-15
100,GD,0.8509149849373655,1.0032598978531941,0.15234491291582852,0.0
100,SGD,0.8510169618595973,1.0035927896867767,0.1525758278271794,0.0003561039821271404
100,SVRG,0.8509149849373658,1.0032598978531944,0.15234491291582863,7.079939031228903e-16
50,GD,0.9003903585463991,1.3411223819679048,0.4407320234215056,5.551115123125783e-17
50,SGD,0.900575511528639,1.325691647754425,0.4251161362257858,0.002269508776723419
50,SVRG,0.9003903585463991,1.3411223820516713,0.4407320235052721,2.1259152388627147e-16
20,GD,0.8716384234015532,1.3879379210885563,0.5162994976870031,0.0
20,SGD,0.8726905033210786,1.3561015258650022,0.4834110225439237,0.0025553602405736257
20,SVRG,0.8716384234015534,1.3879379210885767,0.5162994976870231,2.3863339371437894e-15
19,GD,0.2561914951290325,1.560878029009497,1.3046865338804645,0.0
19,SGD,0.2562373719213768,1.5566288747936856,1.3003915028723088,0.000894368446332918
19,SVRG,0.2561914951290325,1.5608780290095012,1.3046865338804687,1.790180836524724e-15
18,GD,0.24907687556979022,1.6291978478974138,1.3801209723276235,0.0
18,SGD,0.24910795617971945,1.6214291096370836,1.3723211534573645,0.003150793754317819
18,SVRG,0.24907687556979027,1.6291978478974416,1.3801209723276513,6.903647322763728e-16
17,GD,0.4509369375911529,2.286131191702428,1.835194254111275,2.220446049250313e-16
17,SGD,0.45224840118315335,2.1562953446013253,1.704046943418172,0.0030909028841548222
17,SVRG,0.4509369375911527,2.2861311917024487,1.8351942541112958,2.7762976115857913e-15
16,GD,0.3965510075120877,1.809374744223496,1.4128237367114085,2.220446049250313e-16
16,SGD,0.3976389763585497,1.6982253741544155,1.3005863977958658,0.006857549166876134
16,SVRG,0.39655100751208777,1.809374744223547,1.4128237367114593,1.0094282222676724e-15
15,GD,0.5754254720231954,1.909658613969856,1.3342331419466609,0.0
15,SGD,0.5755984543471256,1.9019010295800578,1.3263025752329323,0.0010006565818249237
15,SVRG,0.5754254720231954,1.909658613969867,1.3342331419466715,0.0
14,GD,0.3775564894084386,13.811355793641786,13.433799304233345,0.0
14,SGD,0.5564372899777649,3.363074666852775,2.80663737687501,0.05452478765550486
14,SVRG,0.377556488827622,13.812230538140568,13.434674049312946,2.8638853717126797e-13
13,GD,0.8153618105523593,1.985648543236825,1.1702867326844655,0.0
13,SGD,0.8213622760468677,1.6478282394523098,0.8264659634054419,0.0013294654783577219
13,SVRG,0.8153618105523592,1.9856485432369144,1.170286732684555,5.874748045952207e-16
12,GD,0.16411656068085603,2.8858905683753107,2.7217740076944543,0.0
12,SGD,0.17802981567989984,2.110422027902277,1.932392212222377,0.009521925105881608
12,SVRG,0.1641164113715573,2.8938849790120993,2.729768567640542,4.1973878527206564e-09
11,GD,0.1392033602940679,5.311596680808413,5.172393320514345,0.0
11,SGD,0.20658461157025476,1.8141611299053615,1.607576518335107,0.011353974664598103
11,SVRG,0.13920336029406807,5.311596805979817,5.172393445685749,1.1639430498366568e-13
10,GD,1.2904543109730077e-07,2.059106510589094,2.0591063815436628,0.0
10,SGD,0.002049528902129565,2.1123642533541207,2.110314724451991,0.0033540344108933594
10,SVRG,1.9251669387626627e-12,2.059822183646654,2.059822183644729,1.389256039055209e-07
9,GD,1.267011960498463e-28,10.096533250917249,10.096533250917249,0.0
9,SGD,3.1744025897477245e-07,10.08163264424712,10.08163232680686,0.0034430162305317405
9,SVRG,3.6380731052588464e-29,10.096533250917386,10.096533250917386,4.103602172496484e-14
8,GD,8.564985161850607e-11,12.956920527584357,12.956920527498704,1.7763568394002505e-15
